"lat","lng","total","bird","cat","dog","livestock","other","year2013","year2014","year2015","year2016","Jan","Feb","Mar","Apr","May","June","July","Aug","Sep","Oct","Nov","Dec","hour0","hour1","hour2","hour3","hour4","hour5","hour6","hour7","hour8","hour9","hour10","hour11","hour12","hour13","hour14","hour15","hour16","hour17","hour18","hour19","hour20","hour21","hour22","hour23"
30.20375,-97.7526,507,0,144,328,0,35,25,186,148,148,29,35,34,55,45,47,34,62,36,63,41,26,1,1,0,0,0,0,0,10,3,6,30,91,56,67,48,44,55,30,35,13,3,10,2,2
30.22625,-97.7526,257,1,107,130,0,19,21,75,103,58,19,15,12,28,21,29,29,23,19,30,24,8,0,1,2,0,0,0,3,7,7,3,7,41,31,26,23,36,21,12,22,5,1,4,2,3
30.24875,-97.7526,360,0,169,124,0,67,25,119,114,102,30,19,36,36,46,21,26,28,28,37,33,20,2,4,0,1,0,1,1,6,7,4,12,55,42,28,48,31,47,28,21,6,5,6,3,2
30.27125,-97.7526,452,2,161,181,0,108,21,102,156,173,21,25,44,31,43,41,40,60,49,47,32,19,5,2,0,2,0,0,1,7,7,13,12,39,48,47,50,46,57,46,30,7,9,8,7,9
30.29375,-97.7526,168,5,71,67,0,25,6,61,55,46,17,9,12,13,15,15,15,21,15,8,16,12,0,0,1,0,0,0,0,2,2,2,7,21,22,24,17,19,16,12,19,1,1,0,0,2
30.31625,-97.7526,94,0,38,41,0,15,5,35,29,25,4,2,6,7,5,16,4,6,5,24,9,6,0,0,0,0,0,0,0,1,1,2,7,15,7,7,13,7,11,19,3,0,1,0,0,0
30.33875,-97.7526,75,1,28,38,0,8,6,22,25,22,1,4,2,5,12,6,17,9,6,4,3,6,1,1,0,0,0,1,0,0,1,1,1,4,7,11,17,7,11,3,3,3,0,0,0,3
30.36125,-97.7526,129,0,52,64,0,13,13,40,45,31,12,7,9,8,20,10,5,17,9,11,6,15,0,0,0,0,0,0,0,1,5,2,1,20,9,23,18,10,17,6,9,1,1,1,3,2
30.38375,-97.7526,65,1,22,25,0,17,10,28,15,12,5,3,4,8,2,3,5,6,7,11,7,4,0,1,0,0,1,0,0,1,1,0,3,12,8,4,5,7,7,5,5,2,1,0,1,1
30.40625,-97.7526,143,0,79,47,0,17,8,57,45,33,3,9,10,25,19,30,4,14,4,11,8,6,0,0,1,0,0,0,1,5,9,1,14,28,23,12,12,5,20,4,5,2,0,0,1,0
30.18125,-97.737,187,0,35,140,0,12,13,50,58,66,16,6,12,20,21,18,16,10,17,23,16,12,0,0,0,0,0,0,0,1,2,3,15,22,21,43,14,11,19,15,8,4,1,4,2,2
30.20375,-97.737,481,0,130,341,0,10,58,139,172,112,21,22,34,50,46,42,21,45,38,65,52,45,3,0,0,0,0,0,1,1,3,1,24,71,62,72,63,35,58,22,45,5,1,6,4,4
30.22625,-97.737,548,1,256,274,0,17,41,168,181,158,37,21,42,33,48,65,52,57,45,60,43,45,4,1,0,1,0,0,1,6,10,11,34,95,70,53,63,65,48,23,48,3,2,2,3,5
30.24875,-97.737,441,9,120,190,0,122,35,174,125,107,27,26,29,20,43,52,29,83,42,43,32,15,8,0,0,1,0,0,1,9,7,10,15,77,36,34,37,46,50,24,60,4,2,2,5,13
30.27125,-97.737,11833,33,4130,7242,0,428,1063,3899,3541,3330,909,891,1017,1030,1092,927,908,929,994,1339,945,852,24,8,6,1,1,2,16,134,139,217,430,2100,1728,1434,1334,1358,1229,761,736,103,11,22,18,21
30.29375,-97.737,209,0,89,77,0,43,17,55,75,62,11,4,19,16,22,26,24,14,18,21,18,16,7,1,2,0,1,0,0,3,4,2,5,33,30,27,20,15,21,10,14,1,3,3,4,3
30.31625,-97.737,291,1,130,126,0,34,22,114,82,73,15,9,22,37,30,43,16,23,21,34,22,19,3,0,2,0,0,0,0,3,5,9,25,52,36,39,14,28,34,15,13,4,1,0,7,1
30.33875,-97.737,125,2,65,45,0,13,10,51,44,20,12,8,10,9,17,13,3,17,5,19,8,4,0,0,0,0,0,0,0,3,2,2,6,18,18,15,16,11,11,10,11,0,0,1,1,0
30.36125,-97.737,162,0,67,69,0,26,7,55,40,60,8,10,10,7,7,20,28,19,12,12,16,13,2,0,0,0,0,1,0,2,6,3,6,35,24,22,13,14,10,8,10,0,0,4,0,2
30.38375,-97.737,85,1,35,38,0,11,4,27,30,24,4,5,6,8,5,9,7,11,11,8,3,8,2,0,0,0,0,1,0,1,1,3,5,9,6,11,9,6,11,8,5,0,1,5,1,0
30.40625,-97.737,137,0,59,52,0,26,10,55,39,33,6,17,14,4,19,12,12,10,13,12,8,10,1,0,0,0,0,0,0,6,2,2,2,17,15,18,11,22,16,8,8,2,1,1,5,0
