"Animal.ID","Name","DateTime","MonthYear","Found.Location","Intake.Type","Intake.Condition","Animal.Type","Sex.upon.Intake","Age.upon.Intake","Breed","Color"
"A725310","","4/28/16 8:03","4/28/16 8:03","Copeland/S 1St in Austin (TX)","Stray","Nursing","Cat","Unknown","3 days","Domestic Shorthair Mix","Brown Tabby"
"A725313","","4/28/16 8:03","4/28/16 8:03","Old Manchaca /Sanders in Austin (TX)","Stray","Normal","Cat","Intact Female","4 months","Domestic Shorthair","Seal Point/White"
"A695857","Cherry","4/28/16 8:03","4/28/16 8:03","Montopolis/ Riverside Dr in Austin (TX)","Stray","Normal","Dog","Spayed Female","2 years","Labrador Retriever Mix","Black"
"A725318","Theodore","4/28/16 11:08","4/28/16 11:08","Austin (TX)","Owner Surrender","Normal","Cat","Neutered Male","2 years","Domestic Shorthair Mix","Blue/White"
"A725319","Mia","4/28/16 11:10","4/28/16 11:10","Austin (TX)","Owner Surrender","Normal","Dog","Intact Female","2 months","Akita Mix","Red/White"
"A725320","","4/28/16 11:11","4/28/16 11:11","Robert E Lee Dr And Barton Hills Dr in Austin (TX)","Stray","Normal","Dog","Intact Female","1 year","Chihuahua Shorthair Mix","White/Black"
"A725322","Crinkles","4/28/16 11:21","4/28/16 11:21","3000 Gonzales in Austin (TX)","Public Assist","Normal","Dog","Intact Female","8 years","Chinese Sharpei/Beagle","Tricolor"
"A725323","Nala","4/28/16 11:21","4/28/16 11:21","3000 Gonzales in Austin (TX)","Public Assist","Normal","Dog","Spayed Female","2 years","Pit Bull Mix","Brown Brindle"
"A718748","Casidy","4/28/16 11:35","4/28/16 11:35","1520 Rutherford Ln in Austin (TX)","Public Assist","Normal","Dog","Spayed Female","5 years","Carolina Dog Mix","Brown"
"A725327","","4/28/16 11:36","4/28/16 11:36","2315 Cocao Ln in Austin (TX)","Stray","Normal","Dog","Intact Male","1 year","Labrador Retriever/Great Pyrenees","Yellow"
"A709114","Princess","4/28/16 11:38","4/28/16 11:38","Club Terrace And Montopolis Dr in Austin (TX)","Public Assist","Normal","Dog","Spayed Female","1 year","Pit Bull/Carolina Dog","Black/White"
"A725331","*Baxter","4/28/16 11:46","4/28/16 11:46","10722 N Platt River Rd in Austin (TX)","Stray","Normal","Dog","Neutered Male","11 years","Beagle Mix","Tricolor"
"A725332","Pinner","4/28/16 11:53","4/28/16 11:53","4703 Preakness Dr in Travis (TX)","Stray","Normal","Dog","Intact Male","5 months","German Shepherd Mix","Sable"
"A725334","Sandy","4/28/16 11:53","4/28/16 11:53","4703 Preakness Dr in Travis (TX)","Stray","Normal","Dog","Intact Female","5 months","German Shepherd Mix","Sable"
"A725335","*Maggie","4/28/16 11:56","4/28/16 11:56","10000 N Lamar Blvd in Austin (TX)","Stray","Normal","Dog","Intact Female","2 years","Chihuahua Shorthair Mix","Brown/Black"
"A725336","*Annie","4/28/16 11:56","4/28/16 11:56","10000 N Lamar Blvd in Austin (TX)","Stray","Normal","Dog","Intact Female","5 weeks","Chihuahua Shorthair Mix","Brown/Black"
"A725337","*Ellie","4/28/16 11:56","4/28/16 11:56","10000 N Lamar Blvd in Austin (TX)","Stray","Normal","Dog","Intact Female","5 weeks","Chihuahua Shorthair Mix","Brown/Black"
"A725338","","4/28/16 11:56","4/28/16 11:56","10000 N Lamar Blvd in Austin (TX)","Stray","Normal","Dog","Intact Male","2 weeks","Chihuahua Shorthair Mix","Brown/Black"
"A725339","","4/28/16 11:58","4/28/16 11:58","8900 N Highway 35 in Austin (TX)","Stray","Normal","Cat","Intact Male","5 days","Domestic Shorthair Mix","Brown Tabby"
"A725342","*The Raccoon","4/28/16 12:02","4/28/16 12:02","4529 Tx 130 in Del Valle (TX)","Stray","Normal","Dog","Intact Female","6 months","Australian Cattle Dog Mix","Blue Tick/Tan"
